timestamp_utc,bid,ask,spread_usd_oz,spread_pips,market_open
2026-07-15 03:22:09,4031.76,4031.88,0.120,12.0,1
2026-07-15 03:22:14,4031.75,4031.87,0.120,12.0,1
2026-07-15 03:22:19,4031.79,4031.87,0.080,8.0,1
2026-07-15 03:22:24,4031.82,4031.87,0.050,5.0,1
2026-07-15 03:22:29,4031.76,4031.88,0.120,12.0,1
2026-07-15 03:22:34,4031.74,4031.79,0.050,5.0,1
2026-07-15 03:22:39,4031.78,4031.83,0.050,5.0,1
2026-07-15 03:22:44,4031.75,4031.80,0.050,5.0,1
2026-07-15 03:22:49,4031.76,4031.81,0.050,5.0,1
2026-07-15 03:22:54,4031.76,4031.81,0.050,5.0,1
2026-07-15 03:22:59,4031.89,4031.94,0.050,5.0,1
2026-07-15 03:23:04,4032.31,4032.39,0.080,8.0,1
2026-07-15 03:23:09,4032.08,4032.20,0.120,12.0,1
2026-07-15 03:23:14,4032.02,4032.12,0.100,10.0,1
2026-07-15 03:23:19,4031.98,4032.06,0.080,8.0,1
2026-07-15 03:23:24,4032.23,4032.33,0.100,10.0,1
2026-07-15 03:23:29,4031.62,4031.74,0.120,12.0,1
2026-07-15 03:23:34,4031.91,4032.03,0.120,12.0,1
2026-07-15 03:23:39,4031.99,4032.08,0.090,9.0,1
2026-07-15 03:23:44,4031.76,4031.86,0.100,10.0,1
2026-07-15 03:23:49,4031.89,4031.96,0.070,7.0,1
2026-07-15 03:23:54,4031.18,4031.30,0.120,12.0,1
2026-07-15 03:23:59,4031.16,4031.28,0.120,12.0,1
2026-07-15 03:24:04,4031.93,4032.05,0.120,12.0,1
2026-07-15 03:24:09,4032.06,4032.17,0.110,11.0,1
2026-07-15 03:24:14,4032.05,4032.10,0.050,5.0,1
2026-07-15 03:24:19,4031.69,4031.80,0.110,11.0,1
2026-07-15 03:24:24,4031.70,4031.76,0.060,6.0,1
2026-07-15 03:24:29,4031.77,4031.82,0.050,5.0,1
2026-07-15 03:24:34,4031.49,4031.60,0.110,11.0,1
2026-07-15 03:24:39,4031.51,4031.56,0.050,5.0,1
2026-07-15 03:24:44,4030.86,4030.98,0.120,12.0,1
2026-07-15 03:24:49,4031.15,4031.27,0.120,12.0,1
2026-07-15 03:24:54,4031.19,4031.27,0.080,8.0,1
2026-07-15 03:24:59,4031.07,4031.12,0.050,5.0,1
2026-07-15 03:25:04,4031.76,4031.88,0.120,12.0,1
2026-07-15 03:25:09,4031.33,4031.45,0.120,12.0,1
2026-07-15 03:25:14,4031.34,4031.44,0.100,10.0,1
2026-07-15 03:25:19,4030.91,4030.96,0.050,5.0,1
2026-07-15 03:25:24,4031.57,4031.69,0.120,12.0,1
2026-07-15 03:25:29,4031.80,4031.92,0.120,12.0,1
2026-07-15 03:25:34,4031.78,4031.86,0.080,8.0,1
2026-07-15 03:25:39,4031.94,4031.99,0.050,5.0,1
2026-07-15 03:25:44,4032.62,4032.74,0.120,12.0,1
2026-07-15 03:25:49,4032.58,4032.70,0.120,12.0,1
2026-07-15 03:25:54,4032.55,4032.66,0.110,11.0,1
2026-07-15 03:25:59,4031.96,4032.08,0.120,12.0,1
2026-07-15 03:26:04,4031.97,4032.07,0.100,10.0,1
2026-07-15 03:26:09,4031.94,4032.00,0.060,6.0,1
2026-07-15 03:26:14,4031.77,4031.88,0.110,11.0,1
2026-07-15 03:26:19,4031.97,4032.02,0.050,5.0,1
2026-07-15 03:26:24,4031.92,4031.97,0.050,5.0,1
2026-07-15 03:26:29,4032.13,4032.18,0.050,5.0,1
2026-07-15 03:26:34,4032.11,4032.23,0.120,12.0,1
2026-07-15 03:26:39,4031.83,4031.88,0.050,5.0,1
2026-07-15 03:26:44,4031.71,4031.79,0.080,8.0,1
2026-07-15 03:26:49,4031.99,4032.04,0.050,5.0,1
2026-07-15 03:26:54,4031.74,4031.81,0.070,7.0,1
2026-07-15 03:26:59,4031.25,4031.37,0.120,12.0,1
2026-07-15 03:27:04,4030.63,4030.75,0.120,12.0,1
2026-07-15 03:27:09,4031.29,4031.41,0.120,12.0,1
2026-07-15 03:27:14,4031.15,4031.25,0.100,10.0,1
2026-07-15 03:27:19,4030.91,4030.96,0.050,5.0,1
2026-07-15 03:27:24,4030.83,4030.88,0.050,5.0,1
2026-07-15 03:27:29,4030.66,4030.78,0.120,12.0,1
2026-07-15 03:27:34,4031.10,4031.22,0.120,12.0,1
2026-07-15 03:27:39,4031.26,4031.32,0.060,6.0,1
2026-07-15 03:27:44,4031.10,4031.15,0.050,5.0,1
2026-07-15 03:27:49,4031.10,4031.15,0.050,5.0,1
2026-07-15 03:27:54,4031.38,4031.43,0.050,5.0,1
2026-07-15 03:27:59,4031.33,4031.39,0.060,6.0,1
2026-07-15 03:28:04,4031.02,4031.14,0.120,12.0,1
2026-07-15 03:28:09,4030.90,4030.95,0.050,5.0,1
2026-07-15 03:28:14,4031.15,4031.27,0.120,12.0,1
2026-07-15 03:28:19,4032.05,4032.17,0.120,12.0,1
2026-07-15 03:28:24,4031.20,4031.32,0.120,12.0,1
2026-07-15 03:28:29,4032.26,4032.38,0.120,12.0,1
2026-07-15 03:28:34,4032.20,4032.32,0.120,12.0,1
2026-07-15 03:28:39,4032.72,4032.81,0.090,9.0,1
2026-07-15 03:28:44,4031.73,4031.85,0.120,12.0,1
2026-07-15 03:28:49,4031.89,4032.00,0.110,11.0,1
2026-07-15 03:28:54,4031.73,4031.81,0.080,8.0,1
2026-07-15 03:28:59,4031.75,4031.83,0.080,8.0,1
2026-07-15 03:29:04,4030.75,4030.83,0.080,8.0,1
2026-07-15 03:29:09,4030.78,4030.86,0.080,8.0,1
2026-07-15 03:29:14,4031.39,4031.50,0.110,11.0,1
2026-07-15 03:29:19,4030.54,4030.66,0.120,12.0,1
2026-07-15 03:29:24,4030.66,4030.78,0.120,12.0,1
2026-07-15 03:29:29,4030.44,4030.53,0.090,9.0,1
2026-07-15 03:29:34,4030.40,4030.46,0.060,6.0,1
2026-07-15 03:29:39,4030.30,4030.35,0.050,5.0,1
2026-07-15 03:29:44,4030.54,4030.62,0.080,8.0,1
2026-07-15 03:29:49,4030.77,4030.85,0.080,8.0,1
2026-07-15 03:29:54,4030.72,4030.78,0.060,6.0,1
2026-07-15 03:29:59,4031.00,4031.08,0.080,8.0,1
2026-07-15 03:30:04,4031.24,4031.29,0.050,5.0,1
2026-07-15 03:30:09,4031.60,4031.68,0.080,8.0,1
2026-07-15 03:30:14,4031.24,4031.36,0.120,12.0,1
2026-07-15 03:30:19,4031.49,4031.57,0.080,8.0,1
2026-07-15 03:30:24,4031.51,4031.63,0.120,12.0,1
2026-07-15 03:30:29,4030.80,4030.92,0.120,12.0,1
2026-07-15 03:30:34,4030.49,4030.61,0.120,12.0,1
2026-07-15 03:30:39,4030.49,4030.59,0.100,10.0,1
2026-07-15 03:30:44,4030.48,4030.60,0.120,12.0,1
2026-07-15 03:30:49,4029.98,4030.10,0.120,12.0,1
2026-07-15 03:30:54,4029.26,4029.38,0.120,12.0,1
2026-07-15 03:30:59,4028.50,4028.62,0.120,12.0,1
2026-07-15 03:31:04,4028.39,4028.51,0.120,12.0,1
2026-07-15 03:31:09,4028.59,4028.71,0.120,12.0,1
2026-07-15 03:31:14,4029.04,4029.16,0.120,12.0,1
2026-07-15 03:31:19,4029.02,4029.14,0.120,12.0,1
2026-07-15 03:31:24,4029.55,4029.62,0.070,7.0,1
2026-07-15 03:31:29,4029.45,4029.50,0.050,5.0,1
2026-07-15 03:31:34,4028.80,4028.90,0.100,10.0,1
2026-07-15 03:31:39,4029.86,4029.98,0.120,12.0,1
2026-07-15 03:31:44,4029.25,4029.33,0.080,8.0,1
2026-07-15 03:31:49,4029.50,4029.62,0.120,12.0,1
2026-07-15 03:31:54,4029.82,4029.94,0.120,12.0,1
2026-07-15 03:31:59,4029.07,4029.17,0.100,10.0,1
2026-07-15 03:32:04,4029.36,4029.42,0.060,6.0,1
2026-07-15 03:32:09,4029.29,4029.34,0.050,5.0,1
2026-07-15 03:32:14,4029.38,4029.43,0.050,5.0,1
2026-07-15 03:32:19,4029.36,4029.42,0.060,6.0,1
2026-07-15 03:32:24,4029.34,4029.39,0.050,5.0,1
2026-07-15 03:32:29,4029.47,4029.59,0.120,12.0,1
2026-07-15 03:32:34,4029.51,4029.59,0.080,8.0,1
2026-07-15 03:32:39,4029.49,4029.54,0.050,5.0,1
2026-07-15 03:32:44,4029.35,4029.41,0.060,6.0,1
2026-07-15 03:32:49,4029.36,4029.41,0.050,5.0,1
2026-07-15 03:32:54,4028.62,4028.74,0.120,12.0,1
2026-07-15 03:32:59,4029.03,4029.15,0.120,12.0,1
2026-07-15 03:33:04,4029.04,4029.14,0.100,10.0,1
2026-07-15 03:33:09,4029.22,4029.31,0.090,9.0,1
2026-07-15 03:33:14,4029.24,4029.29,0.050,5.0,1
2026-07-15 03:33:19,4030.13,4030.25,0.120,12.0,1
2026-07-15 03:33:24,4029.92,4030.04,0.120,12.0,1
2026-07-15 03:33:29,4030.00,4030.07,0.070,7.0,1
2026-07-15 03:33:34,4030.33,4030.38,0.050,5.0,1
2026-07-15 03:33:39,4030.60,4030.71,0.110,11.0,1
2026-07-15 03:33:44,4030.75,4030.80,0.050,5.0,1
2026-07-15 03:33:49,4030.75,4030.87,0.120,12.0,1
2026-07-15 03:33:54,4030.88,4030.93,0.050,5.0,1
2026-07-15 03:33:59,4030.77,4030.82,0.050,5.0,1
2026-07-15 03:34:04,4031.04,4031.11,0.070,7.0,1
2026-07-15 03:34:09,4031.06,4031.15,0.090,9.0,1
2026-07-15 03:34:14,4031.28,4031.39,0.110,11.0,1
2026-07-15 03:34:19,4031.38,4031.43,0.050,5.0,1
2026-07-15 03:34:24,4031.38,4031.43,0.050,5.0,1
2026-07-15 03:34:29,4032.23,4032.35,0.120,12.0,1
2026-07-15 03:34:34,4032.62,4032.74,0.120,12.0,1
2026-07-15 03:34:39,4032.73,4032.81,0.080,8.0,1
2026-07-15 03:34:44,4033.00,4033.09,0.090,9.0,1
2026-07-15 03:34:49,4033.40,4033.50,0.100,10.0,1
2026-07-15 03:34:54,4033.57,4033.63,0.060,6.0,1
2026-07-15 03:34:59,4033.39,4033.46,0.070,7.0,1
2026-07-15 03:35:04,4033.86,4033.98,0.120,12.0,1
2026-07-15 03:35:09,4033.65,4033.77,0.120,12.0,1
2026-07-15 03:35:14,4033.72,4033.83,0.110,11.0,1
2026-07-15 03:35:19,4033.93,4033.98,0.050,5.0,1
2026-07-15 03:35:24,4033.79,4033.90,0.110,11.0,1
2026-07-15 03:35:29,4033.69,4033.78,0.090,9.0,1
2026-07-15 03:35:34,4034.03,4034.08,0.050,5.0,1
2026-07-15 03:35:39,4034.16,4034.22,0.060,6.0,1
2026-07-15 03:35:44,4034.66,4034.78,0.120,12.0,1
2026-07-15 03:35:49,4034.67,4034.73,0.060,6.0,1
2026-07-15 03:35:54,4034.67,4034.72,0.050,5.0,1
2026-07-15 03:35:59,4034.13,4034.25,0.120,12.0,1
2026-07-15 03:36:04,4034.22,4034.27,0.050,5.0,1
2026-07-15 03:36:09,4034.18,4034.23,0.050,5.0,1
2026-07-15 03:36:14,4034.18,4034.23,0.050,5.0,1
2026-07-15 03:36:19,4034.69,4034.76,0.070,7.0,1
2026-07-15 03:36:24,4034.58,4034.63,0.050,5.0,1
2026-07-15 03:36:29,4034.46,4034.51,0.050,5.0,1
2026-07-15 03:36:34,4035.24,4035.36,0.120,12.0,1
2026-07-15 03:36:39,4035.03,4035.15,0.120,12.0,1
